product_id,skin_type
P475172,dry
P475172,normal
P475172,oily
P440929,combination
P440929,oily
P440929,dry
P440929,normal
P440926,dry
P440926,combination
P440926,normal
P440926,oily
P385320,combination
P385320,normal
P385320,dry
P385320,oily
P433468,combination
P433468,oily
P433468,normal
P433468,dry
P402992,combination
P402992,normal
P402992,dry
P402992,oily
P464240,combination
P464240,oily
P464240,dry
P464240,normal
P483146,dry
P483146,combination
P483146,normal
P483146,oily
P410755,normal
P410755,combination
P410755,dry
P444225,dry
P444225,oily
P444225,combination
P444225,normal
P429661,combination
P429661,oily
P429661,normal
P429661,dry
P429526,combination
P429526,normal
P429526,dry
P429526,oily
P505160,dry
P505160,combination
P505160,oily
P505160,normal
P475112,combination
P475112,oily
P475112,normal
P475112,dry
P393501,combination
P393501,oily
P393501,normal
P393501,dry
P383052,normal
P383052,combination
P383052,dry
P383052,oily
P403748,combination
P403748,normal
P403748,dry
P403748,oily
P377919,normal
P377919,combination
P377919,dry
P377919,oily
P468672,combination
P468672,normal
P468672,dry
P468672,oily
P482675,combination
P482675,dry
P482675,normal
P482675,oily
P464237,dry
P464237,normal
P464237,combination
P464237,oily
P467972,combination
P467972,normal
P467972,oily
P467972,dry
P447504,dry
P447504,combination
P447504,normal
P447504,oily
P482510,dry
P482510,normal
P482510,oily
P482510,combination
P475540,normal
P475540,dry
P475540,combination
P475540,oily
P455618,combination
P455618,dry
P455618,normal
P455618,oily
P460627,combination
P460627,normal
P460627,oily
P460627,dry
P455931,normal
P455931,combination
P455931,oily
P455931,dry
P433974,normal
P433974,combination
P433974,dry
P433974,oily
P429659,combination
P429659,normal
P429659,dry
P429659,oily
P480165,combination
P480165,oily
P480165,dry
P480165,normal
P504849,combination
P504849,oily
P504849,dry
P504849,normal
P500614,normal
P500614,combination
P500614,dry
P500614,oily
P463613,dry
P463613,combination
P463613,oily
P463613,normal
P469111,combination
P469111,oily
P469111,normal
P469111,dry
P392142,dry
P392142,combination
P392142,oily
P392142,normal
P442540,dry
P442540,normal
P442540,combination
P442540,oily
P442853,combination
P442853,dry
P442853,normal
P442853,oily
P463964,combination
P463964,dry
P463964,normal
P463964,oily
P379995,oily
P379995,combination
P379995,normal
P379995,dry
P379705,combination
P379705,dry
P379705,oily
P471045,combination
P471045,oily
P471045,normal
P471045,dry
P471042,combination
P471042,normal
P471042,dry
P471042,oily
P471567,combination
P471567,oily
P471567,dry
P471567,normal
P475180,normal
P475180,dry
P475180,combination
P475180,oily
P502322,combination
P502322,dry
P502322,normal
P502322,oily
P440072,normal
P440072,combination
P440072,oily
P440072,dry
P374115,oily
P374115,dry
P374115,combination
P374115,normal
P474121,dry
P474121,combination
P474121,normal
P474121,oily
P468709,combination
P468709,normal
P468709,oily
P468709,dry
P455622,combination
P455622,normal
P455622,oily
P455622,dry
P440484,dry
P440484,combination
P440484,normal
P440484,oily
P422004,oily
P422004,combination
P422004,dry
P422004,normal
P469112,combination
P469112,dry
P469112,oily
P469112,normal
P474940,combination
P474940,normal
P474940,oily
P474940,dry
P505338,oily
